"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","
"Aruba","ABW","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.0784313755902","18.6486486682331","12.1298405451924","3.96140172360629","7.96287173232642","5.88235395341866","7.30769324531406","8.20390129312089","2.54
"Africa Eastern and Southern","AFE","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","0.46873634773543","7.86970873690956","5.62237369942385","4.69045807903838","5.15957370569078","4.82275414343354","5.37350153757311","4.15370975789639","5.09073094861398","1.13178963932057","5.47862520745213","2.7
"Afghanistan","AFG","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.4319740700862","28.6000011706788","8.83227780288267","1.41411799339429","11.2297148272859","5.35740324748
"Africa Western and Central","AFW","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","1.87305406216578","3.71277673428121","7.11196790337776","5.41394293402104","4.12085478536667","-1.51770514080505","-9.04361966395031","1.56710302381865","15.2201558318751","17.5084805084985","10.5405953221293","3.
"Angola","AGO","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","-4.40000121865044","0","4.20000142853745","6.00000216509061","3.49999949008624","2.90000174246859","4.08274863510718","6.12889047765088","0.0416214618374653","-3.45009868500
"Albania","ALB","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","5.74563529228122","2.94859680118948","1.10493826195044","-1.25159664405811","1.78064395924903","5.63724317852112","-0.787842654927246","-1.42003965566391","9.83654897187228
"Andorra","AND","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","4.64946535556467","8.14974352749283","7.78846724532318","5.61878962739297","0.54220566972954","3.30378705328451","2.83857556906837","1.46300016981581","0.0415572233591206","2.20872761148199","-0.1324744
"Arab World","ARB","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","6.77277839247428","10.8010731446512","7.46378927474049","22.7553885195642","7.44242129318475","13.9200390240344","13.2591913780069","10.4802368097488","0.000931632455206","14.3129164190686","6.61973417575612","2
"United Arab Emirates","ARE","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","36.612377853309","39.0796375886666","76.6201550367608","14.4980412677649","6.22740138862785","16.52685650611","21.4393301703121","-1.58960331985861","20.9235730768488","23.8747749106529","4
"Argentina","ARG","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","5.42784287621933","-0.852021521903339","-5.30819682539126","10.1302976615431","10.5694333376394","-0.659726170629824","3.19199662339177","4.82250077932424","9.67952601078326","3.04564331917115","5.65813108184925","1.62841651825939
"Armenia","ARM","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.699998482027","-41.8000027457562","-8.7999987932935","5.40000277917656","6.89999841973659","5.86540074943565","3.32107970046953","7.299999
"American Samoa","ASM","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.965517241379317","0.409836065573771","-0.408163265306129","-4.09836065573771","1.85185185185186",
"Antigua and Barbuda","ATG","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","4.38347107438017","8.08027796880091","8.16100999614888","3.81519265600569","-0.0842510233144225","5.36377882247594","10.165158146716","7.64379528257612","11.494197956295
"Australia","AUS","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","2.48233047098947","1.29422099669962","6.21617959257419","6.98016602027624","5.98014040053107","2.37900553867696","6.30487825728025","5.093706274426","7.0452741832873","7.17569474653776","4.0005792969926","3.9104527931282","2.61959
"Austria","AUT","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","5.53797931684524","2.6486751129527","4.13826758157036","6.12435373762845","3.48017491799556","5.64286141093278","3.00804779775507","4.47231278246025","6.27586716607004","7.12287550213442","5.11496855357541","6.2078611051551","4.8904
"Azerbaijan","AZE","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.700000175699572","-22.6000003264444","-23.0999987188387","-19.7000012399238","-11.7999991076818","1.29999940463827","5.80000014795783","
"Burundi","BDI","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","-13.7461350539839","9.06315793386563","4.13540742185575","6.27303790087062","3.96722560928015","4.61299289557684","13.8215186020874","-0.297883673472171","-1.45954114245622","21.3256707328654","2.74682871213831","-6.40396492407875",
"Belgium","BEL","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","4.9784230631921","5.21200350925506","4.35158428167072","6.95668473344055","3.56065983986097","3.15589498173389","3.86814694690092","4.19412962494745","6.62979979529474","6.35267211404241","3.98582731151862","5.29560423026356","6.381
"Benin","BEN","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","3.14128045641213","-3.42640982098587","4.7300279709188","6.65075912824808","5.29386282871174","3.57586273248711","1.07839866664565","3.84233563459493","2.87749797403703","2.09775758051059","-1.4968418264467","6.4263675448305","3.70616
