year,population,gdp,cement_co2_per_capita,co2,co2_growth_abs,co2_including_luc_growth_abs,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2_per_capita,energy_per_capita,flaring_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2_per_capita,methane_per_capita,nitrous_oxide_per_capita,oil_co2_per_capita,primary_energy_consumption,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf
1950,7776182.0,9421400064.0,0.0,0.084,0.07,1.066,0.941,0.777,0.557,0.011,0.009,0.225,0.003,623.929,0.026,0.187,2.501,0.93,1.042,0.288,0.008,7.791,0.0,0.001,0.0,19.447,1.453
1951,7879343.0,9692279808.0,0.0,0.092,0.007,0.948,1.049,0.853,0.557,0.012,0.009,0.225,0.003,623.929,0.026,0.187,2.596,1.037,1.045,0.292,0.008,7.791,0.0,0.001,0.0,20.458,1.473
1952,7987783.0,10017325056.0,0.0,0.092,0.0,0.928,1.151,0.918,0.557,0.011,0.009,0.225,0.004,623.929,0.026,0.186,2.674,1.139,1.048,0.297,0.007,7.791,0.0,0.001,0.0,21.356,1.484
1953,8096703.0,10630519808.0,0.0,0.106,0.015,1.077,1.268,0.966,0.557,0.013,0.01,0.225,0.005,623.929,0.026,0.187,2.762,1.255,1.053,0.303,0.008,7.791,0.0,0.001,0.0,22.361,1.517
1954,8207953.0,10866360320.0,0.0,0.106,0.0,0.869,1.357,1.025,0.557,0.013,0.01,0.225,0.005,623.929,0.026,0.187,2.833,1.344,1.059,0.31,0.008,7.791,0.0,0.001,0.0,23.256,1.534
1955,8326981.0,11078185984.0,0.0,0.154,0.048,1.11,1.471,1.106,0.557,0.018,0.014,0.225,0.007,623.929,0.026,0.196,2.933,1.452,1.068,0.316,0.011,7.791,0.0,0.001,0.0,24.423,1.633
1956,8454302.0,11581236224.0,0.0,0.183,0.029,0.945,1.56,1.139,0.557,0.022,0.016,0.225,0.007,623.929,0.026,0.203,3.016,1.539,1.078,0.321,0.014,7.791,0.0,0.001,0.0,25.502,1.712
1957,8588340.0,11578973184.0,0.0,0.293,0.11,1.06,1.66,1.231,0.557,0.034,0.025,0.225,0.009,623.929,0.026,0.228,3.114,1.625,1.096,0.324,0.025,7.791,0.0,0.001,0.0,26.746,1.956
1958,8723412.0,12238841856.0,0.0,0.33,0.037,1.061,1.755,1.251,0.557,0.038,0.027,0.225,0.011,623.929,0.026,0.234,3.212,1.718,1.106,0.327,0.027,7.791,0.0,0.001,0.0,28.019,2.044
1959,8869271.0,12579874816.0,0.002,0.385,0.055,0.704,1.806,1.273,0.557,0.043,0.031,0.225,0.012,623.929,0.026,0.242,3.276,1.763,1.115,0.327,0.029,7.791,0.0,0.001,0.0,29.052,2.149
1960,9035048.0,13033253888.0,0.002,0.414,0.029,1.84,1.976,1.37,0.557,0.046,0.032,0.225,0.014,623.929,0.026,0.246,3.187,1.931,1.122,0.325,0.03,7.791,0.0,0.001,0.0,28.796,2.225
1961,9214082.0,13146287104.0,0.002,0.491,0.077,-2.571,1.659,1.163,0.557,0.053,0.037,0.225,0.019,623.929,0.026,0.257,2.844,1.606,1.043,0.318,0.032,7.791,0.0,0.001,0.0,26.207,2.37
1962,9404411.0,13367633920.0,0.003,0.689,0.198,-1.225,1.495,1.052,0.557,0.073,0.052,0.225,0.032,623.929,0.026,0.289,2.73,1.422,1.053,0.308,0.039,7.791,0.0,0.001,0.0,25.671,2.722
1963,9604491.0,13630298112.0,0.005,0.707,0.018,-0.562,1.406,0.99,0.557,0.074,0.052,0.225,0.027,623.929,0.026,0.29,2.681,1.332,1.067,0.307,0.041,7.791,0.0,0.001,0.0,25.747,2.79
1964,9814318.0,13870503936.0,0.006,0.839,0.132,-2.618,1.109,0.785,0.557,0.085,0.06,0.225,0.031,623.929,0.026,0.312,2.509,1.023,1.073,0.307,0.049,7.791,0.0,0.001,0.0,24.625,3.065
1965,10036003.0,14187419648.0,0.008,1.007,0.168,0.507,1.135,0.803,0.557,0.1,0.071,0.225,0.038,623.929,0.026,0.336,2.528,1.034,1.081,0.308,0.054,7.791,0.0,0.001,0.0,25.37,3.372
1966,10266397.0,14325264384.0,0.008,1.091,0.084,-1.138,0.998,0.716,0.557,0.106,0.076,0.225,0.042,623.929,0.026,0.345,2.448,0.892,1.098,0.308,0.056,7.791,0.0,0.001,0.0,25.136,3.544
1967,10505961.0,14734025728.0,0.006,1.282,0.191,-1.563,0.827,0.59,0.557,0.122,0.087,0.225,0.038,623.929,0.026,0.386,2.341,0.705,1.106,0.309,0.053,7.791,0.0,0.001,0.0,24.593,4.055
1968,10756924.0,15254250496.0,0.004,1.223,-0.058,-0.554,0.756,0.533,0.557,0.114,0.08,0.225,0.031,623.929,0.026,0.376,2.277,0.642,1.107,0.315,0.046,7.791,0.0,0.001,0.0,24.491,4.049
1969,11017417.0,15493193728.0,0.005,0.941,-0.282,-0.908,0.656,0.466,0.557,0.085,0.061,0.225,0.033,623.929,0.026,0.31,2.106,0.57,1.042,0.307,0.048,7.791,0.0,0.001,0.0,23.202,3.417
1970,11290135.0,15812232192.0,0.004,1.67,0.729,0.928,0.722,0.516,0.557,0.148,0.106,0.225,0.039,623.929,0.026,0.377,2.136,0.574,1.035,0.301,0.06,7.791,0.0,0.001,0.0,24.12,4.255
1971,11567672.0,15770513408.0,0.004,1.894,0.223,-0.533,0.659,0.483,0.557,0.164,0.12,0.225,0.031,623.929,0.026,0.392,2.041,0.495,1.009,0.291,0.065,7.791,0.0,0.001,0.0,23.612,4.532
1972,11853697.0,13170552832.0,0.004,1.53,-0.363,-0.891,0.568,0.511,0.557,0.129,0.116,0.225,0.016,623.929,0.031,0.363,1.729,0.439,0.867,0.222,0.053,7.791,0.0,0.001,0.0,20.493,4.301
1973,12158000.0,13568630784.0,0.006,1.635,0.105,-0.691,0.497,0.445,0.557,0.135,0.121,0.225,0.026,623.929,0.018,0.364,1.7,0.362,0.875,0.239,0.058,7.791,0.0,0.001,0.0,20.668,4.424
1974,12469127.0,14309107712.0,0.006,1.913,0.278,-0.159,0.472,0.411,0.557,0.153,0.134,0.225,0.024,623.929,0.029,0.385,1.706,0.318,0.902,0.254,0.062,7.791,0.0,0.001,0.0,21.277,4.804
1975,12773967.0,15177767936.0,0.005,2.121,0.208,-0.148,0.449,0.378,0.557,0.166,0.14,0.225,0.031,623.929,0.024,0.397,1.715,0.283,0.927,0.269,0.068,7.791,0.0,0.001,0.0,21.901,5.076
1976,13059861.0,16023605248.0,0.006,1.981,-0.141,-0.446,0.405,0.33,0.557,0.152,0.124,0.225,0.033,623.929,0.022,0.371,1.656,0.253,0.913,0.27,0.068,7.791,0.0,0.001,0.0,21.624,4.841
1977,13340758.0,15207360512.0,0.005,2.384,0.403,0.106,0.404,0.355,0.557,0.179,0.157,0.225,0.034,623.929,0.029,0.396,1.613,0.225,0.881,0.26,0.073,7.791,0.0,0.001,0.0,21.517,5.287
1978,13611445.0,16337829888.0,0.004,2.153,-0.231,-0.606,0.352,0.293,0.557,0.158,0.132,0.225,0.042,623.929,0.021,0.372,1.534,0.193,0.863,0.251,0.069,7.791,0.0,0.001,0.0,20.887,5.062
1979,13655572.0,15913788416.0,0.005,2.233,0.079,0.204,0.365,0.314,0.557,0.164,0.14,0.225,0.026,623.929,0.02,0.375,1.506,0.202,0.844,0.243,0.085,7.791,0.0,0.001,0.0,20.564,5.115
1980,13169312.0,15329836032.0,0.002,1.756,-0.476,-0.652,0.329,0.283,0.557,0.133,0.115,0.225,0.024,623.929,0.023,0.365,1.524,0.196,0.885,0.254,0.07,7.791,0.0,0.001,0.0,20.068,4.804
1981,11937587.0,15645343744.0,0.003,1.978,0.222,0.337,0.392,0.299,0.533,0.166,0.126,0.225,0.028,786.837,0.025,0.416,1.688,0.226,0.972,0.278,0.085,8.777,0.0,0.001,0.0,20.145,4.972
1982,10991382.0,15980409856.0,0.004,2.095,0.116,-0.411,0.388,0.267,0.456,0.191,0.131,0.224,0.035,926.651,0.026,0.457,1.804,0.197,1.046,0.306,0.09,9.348,0.0,0.001,0.0,19.83,5.02
1983,10917986.0,16755333120.0,0.001,2.52,0.425,0.375,0.425,0.277,0.406,0.231,0.15,0.22,0.035,1149.196,0.027,0.5,1.783,0.194,1.009,0.291,0.112,11.436,0.0,0.001,0.0,19.465,5.455
1984,11190220.0,17072152576.0,0.004,2.822,0.302,0.031,0.417,0.274,0.406,0.252,0.165,0.246,0.035,1121.573,0.028,0.516,1.643,0.165,0.9,0.269,0.101,11.489,0.0,0.001,0.0,18.387,5.774
1985,11426855.0,17108480000.0,0.003,3.501,0.68,0.399,0.444,0.296,0.452,0.306,0.205,0.312,0.035,1067.071,0.029,0.574,1.566,0.137,0.817,0.245,0.135,11.217,0.0,0.001,0.0,17.89,6.558
1986,11420074.0,17641345024.0,0.003,3.134,-0.368,-0.669,0.385,0.249,0.384,0.274,0.178,0.273,0.037,1097.04,0.029,0.541,1.374,0.111,0.712,0.209,0.1,11.462,0.0,0.001,0.0,15.693,6.176
1987,11387824.0,15810816000.0,0.004,3.114,-0.02,-0.269,0.363,0.261,0.223,0.273,0.197,0.168,0.039,1790.467,0.02,0.507,1.379,0.089,0.716,0.228,0.177,18.483,0.0,0.001,0.0,15.699,5.776
1988,11523299.0,14499068928.0,0.004,2.857,-0.257,-0.273,0.335,0.266,0.118,0.248,0.197,0.088,0.032,3139.185,0.016,0.469,1.361,0.087,0.723,0.234,0.158,32.596,0.0,0.001,0.0,15.688,5.405
1989,11874088.0,13489497088.0,0.004,2.765,-0.092,-0.183,0.309,0.272,0.115,0.233,0.205,0.086,0.028,3003.004,0.003,0.413,1.258,0.077,0.66,0.226,0.157,32.052,0.0,0.001,0.0,14.936,4.908
1990,12045664.0,13065984000.0,0.004,2.024,-0.741,-1.489,0.181,0.167,0.069,0.168,0.155,0.064,0.023,2968.316,0.002,0.35,1.153,0.013,0.652,0.22,0.106,31.746,0.0,0.001,0.0,13.892,4.218
1991,12238879.0,12047362048.0,0.004,1.914,-0.11,-0.27,0.157,0.159,0.138,0.156,0.159,0.138,0.02,1293.862,0.002,0.344,1.158,0.0,0.672,0.222,0.098,13.903,0.0,0.001,0.0,14.178,4.207
1992,13278982.0,12677539840.0,0.003,1.482,-0.432,-2.094,-0.013,-0.014,-0.019,0.112,0.117,0.162,0.002,760.342,0.002,0.29,0.942,-0.125,0.631,0.201,0.078,9.168,0.0,0.001,0.0,12.514,3.853
1993,14943174.0,9834582016.0,0.003,1.487,0.005,-2.397,-0.172,-0.262,-0.283,0.1,0.151,0.163,0.001,650.207,0.001,0.269,0.79,-0.272,0.574,0.181,0.07,9.105,0.0,0.001,0.0,11.804,4.021
1994,16250799.0,7919856640.0,0.003,1.454,-0.033,0.581,-0.123,-0.252,-0.226,0.089,0.184,0.165,0.001,570.403,0.001,0.256,0.756,-0.212,0.552,0.157,0.064,8.816,0.0,0.001,0.0,12.282,4.159
1995,17065836.0,12307525632.0,0.003,1.417,-0.037,0.943,-0.062,-0.085,-0.142,0.083,0.115,0.191,0.001,452.46,0.001,0.253,0.78,-0.145,0.557,0.157,0.059,7.429,0.0,0.001,0.0,13.319,4.321
1996,17763265.0,12070125568.0,0.003,1.37,-0.047,2.407,0.076,0.112,0.186,0.077,0.114,0.188,0.0,425.906,0.001,0.249,0.885,-0.001,0.591,0.163,0.055,7.286,0.0,0.001,0.0,15.723,4.425
1997,18452100.0,11850753024.0,0.003,1.304,-0.066,3.597,0.268,0.418,0.714,0.071,0.11,0.188,0.0,390.019,0.001,0.242,1.007,0.198,0.614,0.173,0.051,6.938,0.0,0.001,0.0,18.584,4.466
1998,19159996.0,11692171264.0,0.002,1.279,-0.026,-3.974,0.051,0.084,0.145,0.067,0.109,0.189,0.0,365.121,0.001,0.236,0.918,-0.016,0.625,0.18,0.049,6.752,0.0,0.001,0.0,17.581,4.528
1999,19887791.0,11517316096.0,0.002,1.092,-0.187,0.88,0.093,0.161,0.275,0.055,0.095,0.162,0.0,350.347,0.001,0.223,0.966,0.039,0.649,0.186,0.039,6.749,0.0,0.001,0.0,19.208,4.431
2000,20130334.0,11283793920.0,0.001,1.047,-0.045,-0.755,0.055,0.098,0.187,0.052,0.093,0.177,0.0,302.595,0.001,0.225,0.842,0.003,0.578,0.16,0.039,5.914,0.0,0.001,0.0,16.955,4.521
2001,20284303.0,11021273088.0,0.0,1.069,0.022,0.736,0.091,0.167,0.394,0.053,0.097,0.229,0.003,236.892,0.001,0.23,0.778,0.038,0.511,0.141,0.038,4.664,0.0,0.001,0.0,15.772,4.67
2002,21378123.0,18804871168.0,0.001,1.341,0.272,4.275,0.286,0.325,1.381,0.063,0.071,0.303,0.003,210.862,0.0,0.24,0.97,0.223,0.583,0.154,0.034,4.428,0.0,0.001,0.0,20.735,5.132
2003,22733054.0,21074343936.0,0.0,1.56,0.219,-0.19,0.261,0.281,1.138,0.069,0.074,0.299,0.004,229.968,0.0,0.243,0.942,0.192,0.566,0.151,0.044,5.208,0.0,0.001,0.0,21.423,5.521
2004,23560656.0,22332569600.0,0.0,1.237,-0.322,-2.572,0.142,0.15,0.697,0.053,0.055,0.257,0.004,204.231,0.0,0.227,0.851,0.09,0.548,0.145,0.039,4.81,0.0,0.001,0.0,20.057,5.354
2005,24404574.0,25397686272.0,0.0,1.89,0.652,-0.572,0.114,0.109,0.452,0.077,0.074,0.307,0.004,252.069,0.0,0.254,0.851,0.037,0.544,0.146,0.059,6.153,0.0,0.001,0.0,20.766,6.204
2006,25424100.0,28704399360.0,0.0,2.159,0.27,0.348,0.123,0.109,0.404,0.085,0.075,0.279,0.006,304.421,0.0,0.26,0.826,0.038,0.534,0.134,0.065,7.745,0.0,0.001,0.0,21.007,6.61
2007,25909852.0,34507530240.0,0.0,2.8,0.641,0.437,0.138,0.103,0.388,0.108,0.081,0.305,0.029,354.28,0.0,0.29,0.845,0.03,0.539,0.13,0.067,9.177,0.0,0.001,0.0,21.89,7.52
2008,26482629.0,36561043456.0,0.001,4.254,1.455,1.323,0.185,0.134,0.304,0.161,0.116,0.265,0.041,607.833,0.0,0.348,0.935,0.024,0.576,0.138,0.108,16.063,0.0,0.001,0.0,24.754,9.212
2009,27466101.0,44358721536.0,0.0,6.392,2.137,2.016,0.251,0.156,0.259,0.233,0.144,0.239,0.055,975.048,0.0,0.422,1.0,0.019,0.57,0.144,0.167,26.702,0.0,0.001,0.0,27.462,11.604
2010,28284088.0,47399424000.0,0.001,8.365,1.973,1.613,0.301,0.18,0.255,0.296,0.176,0.251,0.079,1182.892,0.0,0.493,1.117,0.005,0.624,0.155,0.206,33.345,0.0,0.001,0.0,31.581,13.947
2011,29347709.0,53326336000.0,0.0,11.838,3.474,3.415,0.407,0.224,0.284,0.403,0.222,0.282,0.142,1436.114,0.0,0.614,1.214,0.003,0.62,0.154,0.25,42.005,0.0,0.001,0.0,35.634,18.008
2012,30560036.0,59166900224.0,0.001,10.035,-1.803,-1.846,0.33,0.17,0.25,0.328,0.17,0.249,0.102,1324.121,0.0,0.532,1.1,0.002,0.592,0.148,0.215,40.341,0.0,0.001,0.0,33.622,16.252
2013,31622708.0,62993698816.0,0.001,9.229,-0.807,-0.875,0.291,0.146,0.275,0.292,0.146,0.276,0.104,1060.793,0.0,0.495,1.043,-0.001,0.576,0.144,0.177,33.459,0.0,0.001,0.0,32.971,15.655
2014,32792527.0,64346107904.0,0.001,9.086,-0.142,-0.169,0.276,0.141,0.318,0.277,0.141,0.32,0.11,868.576,0.0,0.48,1.027,-0.001,0.57,0.147,0.157,28.417,0.001,0.001,0.0,33.681,15.756
2015,33831765.0,62783393792.0,0.001,9.67,0.584,0.763,0.29,0.156,0.299,0.286,0.154,0.295,0.08,970.08,0.0,0.485,0.992,0.004,0.533,0.142,0.196,32.744,0.001,0.001,0.0,33.569,16.421
2016,34700614.0,64372215808.0,0.002,8.906,-0.764,-0.696,0.262,0.141,0.305,0.257,0.138,0.298,0.078,862.791,0.0,0.46,0.954,0.006,0.522,0.137,0.167,29.884,0.001,0.001,0.0,33.088,15.959
2017,35688942.0,65169281024.0,0.001,9.677,0.771,5.465,0.408,0.224,0.493,0.271,0.148,0.327,0.091,829.312,0.0,0.48,1.025,0.137,0.509,0.139,0.17,29.56,0.001,0.001,0.0,36.574,17.134
2018,36743040.0,65996738560.0,0.002,10.602,0.924,-1.265,0.362,0.202,0.392,0.289,0.161,0.313,0.099,924.251,0.0,0.499,1.0,0.074,0.51,0.133,0.18,33.908,0.001,0.001,0.0,36.748,18.331
2019,37856126.0,73085706240.0,0.001,10.825,0.223,6.436,0.522,0.27,0.651,0.286,0.148,0.357,0.098,802.613,0.0,0.49,1.034,0.236,0.495,0.122,0.181,30.314,0.001,0.001,0.0,39.145,18.538
2020,39068978.0,71417708544.0,0.002,11.606,0.781,-2.91,0.431,0.236,0.614,0.297,0.163,0.424,0.105,702.888,0.0,0.477,0.968,0.134,0.463,0.116,0.186,27.393,0.001,0.001,0.0,37.833,18.633
2021,40000411.0,56638849024.0,0.0,10.272,-1.334,5.203,0.551,0.389,0.812,0.257,0.181,0.379,0.085,676.696,0.0,0.449,0.958,0.294,0.469,0.11,0.168,27.135,0.001,0.001,0.0,38.313,17.947
2022,40578846.0,53303472128.0,0.0,10.558,0.286,3.827,0.637,0.485,0.812,0.26,0.198,0.379,0.087,676.696,0.0,0.452,0.973,0.377,0.464,0.108,0.169,27.135,0.001,0.001,0.0,39.485,18.355
2023,41454762.0,53303472128.0,0.0,11.02,0.462,2.589,0.686,0.485,0.812,0.266,0.198,0.379,0.093,676.696,0.0,0.45,0.967,0.42,0.451,0.101,0.169,27.135,0.001,0.001,0.0,40.081,18.638
1950,1247854.0,1958540928.0,0.006,0.297,-0.718,-0.308,3.496,2.228,0.166,0.238,0.152,0.108,0.035,16237.574,0.0,0.715,3.853,3.259,1.339,0.448,0.197,47.765,0.0,0.0,0.0,4.808,0.892
1951,1276364.0,2089362304.0,0.006,0.403,0.106,0.494,3.805,2.324,0.166,0.316,0.193,0.108,0.057,16237.574,0.0,0.798,4.076,3.489,1.355,0.446,0.244,47.765,0.0,0.0,0.0,5.202,1.018
1952,1308369.0,2138255872.0,0.006,0.374,-0.029,0.534,4.12,2.521,0.166,0.286,0.175,0.108,0.058,16237.574,0.0,0.75,4.258,3.835,1.349,0.443,0.214,47.765,0.0,0.0,0.0,5.57,0.981
1953,1343582.0,2282159616.0,0.005,0.414,0.04,0.262,4.207,2.477,0.166,0.308,0.181,0.108,0.085,16237.574,0.0,0.762,4.336,3.899,1.352,0.437,0.205,47.765,0.0,0.0,0.0,5.826,1.024
1954,1381087.0,2415072768.0,0.005,0.502,0.088,0.461,4.426,2.531,0.166,0.363,0.208,0.108,0.114,16237.574,0.0,0.818,4.493,4.063,1.365,0.431,0.223,47.765,0.0,0.0,0.0,6.205,1.129
1955,1418855.0,2620052736.0,0.015,0.663,0.161,0.47,4.64,2.513,0.166,0.467,0.253,0.108,0.155,16237.574,0.0,0.931,4.654,4.172,1.388,0.425,0.271,47.765,0.0,0.0,0.0,6.603,1.321
1956,1456823.0,2728373248.0,0.022,0.839,0.176,0.486,4.853,2.591,0.166,0.576,0.307,0.108,0.171,16237.574,0.0,1.058,4.848,4.277,1.422,0.419,0.35,47.765,0.0,0.0,0.0,7.062,1.541
1957,1497952.0,2986969600.0,0.024,1.506,0.667,1.037,5.411,2.714,0.166,1.005,0.504,0.108,0.183,16237.574,0.0,1.603,5.493,4.406,1.552,0.412,0.758,47.765,0.0,0.0,0.0,8.229,2.401
1958,1543981.0,3216275456.0,0.026,1.201,-0.304,-0.055,5.214,2.503,0.166,0.778,0.374,0.108,0.187,16237.574,0.0,1.3,5.226,4.436,1.49,0.404,0.522,47.765,0.0,0.0,0.0,8.068,2.008
1959,1595023.0,3458495232.0,0.023,1.443,0.242,1.757,6.149,2.836,0.166,0.905,0.417,0.108,0.211,16237.574,0.0,1.455,6.142,5.244,1.529,0.396,0.623,47.765,0.0,0.0,0.0,9.797,2.321
1960,1649393.0,3754262784.0,0.022,2.022,0.579,-0.998,5.341,2.347,0.166,1.226,0.539,0.108,0.198,16237.574,0.0,1.875,5.434,4.115,1.638,0.387,0.955,47.765,0.0,0.0,0.0,8.963,3.092
1961,1698800.0,3909912832.0,0.034,2.279,0.256,-0.818,4.705,2.044,0.166,1.341,0.583,0.108,0.189,16237.574,0.0,2.023,4.889,3.363,1.573,0.41,1.068,47.765,0.0,0.0,0.0,8.306,3.436
1962,1743738.0,4163081984.0,0.033,2.462,0.183,-0.261,4.434,1.857,0.166,1.412,0.591,0.108,0.208,16237.574,0.0,2.11,4.668,3.022,1.575,0.402,1.122,47.765,0.0,0.0,0.0,8.139,3.68
1963,1791289.0,4433270272.0,0.037,2.081,-0.381,-0.935,3.794,1.533,0.166,1.162,0.469,0.108,0.157,16237.574,0.0,1.787,3.975,2.632,1.473,0.388,0.92,47.765,0.0,0.0,0.0,7.12,3.201
1964,1841445.0,4719963648.0,0.034,2.015,-0.066,0.779,4.114,1.605,0.166,1.094,0.427,0.108,0.181,16237.574,0.0,1.689,4.209,3.019,1.422,0.383,0.834,47.765,0.0,0.0,0.0,7.752,3.11
1965,1894318.0,5029350912.0,0.038,2.172,0.157,0.266,4.139,1.559,0.166,1.147,0.432,0.108,0.209,16237.574,0.0,1.748,4.366,2.993,1.465,0.393,0.855,47.765,0.0,0.0,0.0,8.271,3.312
1966,1950047.0,5354307584.0,0.035,2.55,0.377,0.308,4.179,1.522,0.166,1.307,0.476,0.108,0.245,16237.574,0.0,1.952,4.518,2.871,1.478,0.387,0.975,47.765,0.0,0.0,0.0,8.811,3.807
1967,2008523.0,5706156544.0,0.054,2.677,0.128,-0.41,3.853,1.356,0.166,1.333,0.469,0.108,0.261,16237.574,0.0,1.974,4.284,2.52,1.457,0.393,0.954,47.765,0.0,0.0,0.0,8.605,3.964
1968,2068849.0,6073281536.0,0.072,3.069,0.392,0.299,3.885,1.323,0.166,1.484,0.505,0.108,0.285,16237.574,0.0,2.163,4.318,2.402,1.408,0.393,1.056,47.765,0.0,0.0,0.0,8.934,4.474
1969,2126885.0,6468810240.0,0.077,3.241,0.172,0.128,3.839,1.262,0.166,1.524,0.501,0.108,0.324,16237.574,0.0,2.204,4.262,2.315,1.375,0.369,1.044,47.765,0.0,0.0,0.0,9.064,4.687
1970,2181227.0,6888218624.0,0.082,3.739,0.498,-0.012,3.738,1.184,0.166,1.714,0.543,0.108,0.409,16237.574,0.0,2.407,4.306,2.024,1.367,0.374,1.138,47.765,0.0,0.0,0.0,9.392,5.25
1971,2234994.0,7337364480.0,0.08,4.348,0.609,0.408,3.831,1.167,0.166,1.945,0.593,0.108,0.443,16237.574,0.0,2.629,4.393,1.885,1.313,0.377,1.315,47.765,0.0,0.0,0.0,9.818,5.875
1972,2289267.0,7811524608.0,0.086,5.638,1.29,0.916,4.14,1.213,0.166,2.463,0.722,0.108,0.472,16237.574,0.0,3.254,4.844,1.677,1.389,0.37,1.783,47.765,0.0,0.0,0.0,11.09,7.45
1973,2344108.0,8317288448.0,0.109,5.286,-0.352,-0.462,3.846,1.084,0.166,2.255,0.636,0.108,0.499,16237.574,0.0,3.031,4.56,1.591,1.378,0.372,1.491,47.765,0.0,0.0,0.0,10.689,7.106
1974,2399398.0,8539399680.0,0.116,4.342,-0.945,-1.53,3.12,0.877,0.166,1.809,0.508,0.108,0.504,16237.574,0.0,2.506,3.868,1.311,1.306,0.371,1.01,47.765,0.0,0.0,0.0,9.282,6.012
1975,2454864.0,8761643008.0,0.131,4.591,0.25,0.895,3.414,0.957,0.166,1.87,0.524,0.108,0.513,16237.574,0.0,2.587,4.079,1.544,1.321,0.365,1.0,47.765,0.0,0.0,0.0,10.013,6.351
1976,2510582.0,8996929536.0,0.139,4.947,0.356,1.242,3.833,1.07,0.166,1.971,0.55,0.108,0.507,16237.574,0.0,2.707,4.751,1.863,1.363,0.396,1.057,47.765,0.0,0.0,0.0,11.928,6.796
1977,2566601.0,9235805184.0,0.146,5.717,0.77,-0.094,3.713,1.032,0.166,2.228,0.619,0.108,0.662,16237.574,0.0,2.967,4.61,1.485,1.38,0.408,1.147,47.765,0.0,0.0,0.0,11.832,7.614
1978,2624621.0,9474237440.0,0.153,6.491,0.774,0.117,3.675,1.018,0.166,2.473,0.685,0.108,0.81,16237.574,0.0,3.26,4.928,1.202,1.457,0.461,1.252,47.765,0.0,0.0,0.0,12.934,8.556
1979,2681391.0,9727295488.0,0.158,7.584,1.093,0.973,3.96,1.092,0.166,2.828,0.78,0.108,1.0,16237.574,0.0,3.584,5.173,1.132,1.44,0.462,1.407,47.765,0.0,0.0,0.0,13.871,9.61
1980,2735423.0,9993752576.0,0.184,5.171,-2.413,-2.668,2.907,0.796,0.166,1.89,0.517,0.108,0.849,16237.574,0.0,2.637,4.137,1.016,1.437,0.46,0.575,47.765,0.0,0.0,0.0,11.315,7.212
1981,2790413.0,10248711168.0,0.142,7.34,2.169,1.96,3.552,0.967,0.209,2.63,0.716,0.155,0.948,15870.437,0.0,3.346,4.766,0.921,1.413,0.459,1.252,47.491,0.0,0.0,0.0,13.298,9.337
1982,2846910.0,10517106688.0,0.147,7.308,-0.032,-0.281,3.382,0.916,0.202,2.567,0.695,0.153,1.012,15693.041,0.0,3.42,4.76,0.815,1.542,0.452,1.104,47.725,0.0,0.0,0.0,13.552,9.736
1983,2905129.0,10795983872.0,0.146,7.631,0.323,0.408,3.455,0.93,0.202,2.627,0.707,0.154,1.068,16071.562,0.0,3.556,4.919,0.828,1.612,0.456,1.077,49.627,0.0,0.0,0.0,14.29,10.33
1984,2964961.0,11080088576.0,0.147,7.826,0.195,-0.101,3.351,0.897,0.199,2.639,0.706,0.157,1.147,15946.768,0.0,3.435,4.706,0.712,1.462,0.455,0.994,49.941,0.0,0.0,0.0,13.954,10.185
1985,3026245.0,11371456512.0,0.143,7.882,0.056,-0.04,3.271,0.87,0.199,2.604,0.693,0.158,1.23,15713.386,0.0,3.388,4.582,0.666,1.408,0.437,0.91,49.839,0.0,0.0,0.0,13.866,10.252
1986,3087659.0,11669744640.0,0.139,8.058,0.177,0.034,3.217,0.851,0.204,2.61,0.691,0.166,1.201,15176.156,0.0,3.387,4.548,0.607,1.417,0.439,0.929,48.672,0.0,0.0,0.0,14.044,10.457
1987,3148843.0,11975300096.0,0.139,7.447,-0.611,-0.414,3.022,0.795,0.195,2.365,0.622,0.152,1.186,15084.123,0.0,3.122,4.405,0.657,1.437,0.43,0.896,48.838,0.0,0.0,0.0,13.87,9.832
1988,3212924.0,12296424448.0,0.118,7.329,-0.118,-0.563,2.787,0.728,0.181,2.281,0.596,0.148,1.25,15142.146,0.0,2.973,4.16,0.506,1.394,0.44,0.802,49.409,0.0,0.0,0.0,13.367,9.552
1989,3260370.0,12617018368.0,0.119,8.986,1.657,1.891,3.326,0.86,0.231,2.756,0.712,0.191,1.244,14317.034,0.0,3.449,4.795,0.57,1.398,0.459,1.256,46.991,0.0,0.0,0.0,15.632,11.245
1990,3277964.0,12947849216.0,0.117,5.521,-3.466,-3.557,2.223,0.563,0.217,1.684,0.426,0.164,0.762,10214.598,0.0,2.242,3.478,0.539,1.237,0.431,0.663,33.658,0.0,0.0,0.0,11.402,7.35
1991,3282607.0,9375856640.0,0.094,4.29,-1.23,-1.349,1.809,0.633,0.21,1.307,0.458,0.152,0.451,8549.045,0.0,1.885,2.997,0.502,1.269,0.332,0.679,28.23,0.0,0.0,0.0,9.837,6.189
