year,population,gdp,primary_energy_consumption,oil_co2,coal_co2,cement_co2,temperature_change_from_ghg,co2
1964,1841445,4719963648,47.765,1.535,0.333,0.062,0,2.015
1965,1894318,5029350912,47.765,1.62,0.395,0.073,0,2.172
1966,1950047,5354307584,47.765,1.901,0.477,0.069,0,2.55
1967,2008523,5706156544,47.765,1.916,0.524,0.109,0,2.677
1968,2068849,6073281536,47.765,2.184,0.59,0.149,0,3.069
1969,2126885,6468810240,47.765,2.22,0.689,0.164,0,3.241
1970,2181227,6888218624,47.765,2.483,0.891,0.178,0,3.739
1971,2234994,7337364480,47.765,2.939,0.989,0.178,0,4.348
1972,2289267,7811524608,47.765,4.082,1.081,0.197,0,5.638
1973,2344108,8317288448,47.765,3.495,1.169,0.256,0,5.286
1974,2399398,8539399680,47.765,2.424,1.21,0.278,0,4.342
1975,2454864,8761643008,47.765,2.455,1.26,0.323,0,4.591
1976,2510582,8996929536,47.765,2.655,1.272,0.349,0,4.947
1977,2566601,9235805184,47.765,2.944,1.699,0.375,0,5.717
1978,2624621,9474237440,47.765,3.285,2.126,0.402,0,6.491
1979,2681391,9727295488,47.765,3.772,2.681,0.424,0,7.584
1980,2735423,9993752576,47.765,1.572,2.323,0.503,0,5.171
1981,2790413,10248711168,47.491,3.494,2.644,0.396,0,7.34
1982,2846910,10517106688,47.725,3.144,2.88,0.419,0,7.308
1983,2905129,10795983872,49.627,3.129,3.103,0.424,0,7.631
1984,2964961,11080088576,49.941,2.946,3.4,0.436,0,7.826
1985,3026245,11371456512,49.839,2.755,3.723,0.433,0,7.882
1986,3087659,11669744640,48.672,2.869,3.708,0.43,0,8.058
1987,3148843,11975300096,48.838,2.823,3.735,0.438,0,7.447
1988,3212924,12296424448,49.409,2.577,4.018,0.379,0,7.329
1989,3260370,12617018368,46.991,4.096,4.056,0.387,0,8.986
1990,3277964,12947849216,33.658,2.173,2.499,0.384,0,5.521
1991,3282607,9375856640,28.23,2.228,1.48,0.307,0,4.29
