year,population,gdp,primary_energy_consumption,oil_co2,coal_co2,cement_co2,temperature_change_from_ghg,co2
2009,11294716,70355902464,117.373,24.494,0.088,1.023,0.003,27.821
2010,11297413,74083581952,133.373,29.975,0.077,0.927,0.003,33.038
2011,11301577,78036992000,119.801,26.161,0.011,0.94,0.003,29.068
2012,11303173,80388153344,130.39,26.425,0.015,0.954,0.003,29.476
2013,11298163,83013746688,125.375,24.794,0.037,0.921,0.003,27.898
2014,11285781,85723463680,127.568,24.182,0.004,0.713,0.003,27.37
2015,11275068,88467243008,127.914,25.857,0.022,0.67,0.003,29.091
2016,11265614,88635596800,99.813,24.732,0.007,0.672,0.003,27.769
2017,11247825,90020495360,106.089,21.882,0.015,0.644,0.003,24.566
2018,11227118,91854651392,111.234,20.401,0.015,0.716,0.003,23.019
2019,11202847,91703230464,108.711,20.005,0,0.633,0.003,22.494
2020,11176349,81663254528,101.787,19.071,0.004,0.457,0.003,21.277
2021,11122169,82687385600,103.891,20.441,0.015,0.368,0.003,22.553
2022,11059821,84154974208,103.891,19.819,0.015,0.368,0.003,21.882
2023,11019931,84154974208,103.891,20.675,0.015,0.368,0.003,23.097
1950,101780,1425190016,4.68,6.164,0,0,0,6.164
1951,104422,1425190016,4.68,9.722,0,0,0,9.722
1952,107183,1425190016,4.68,5.613,0,0,0,5.613
1953,110061,1425190016,4.68,6.497,0,0,0,6.497
1954,113030,1425190016,4.68,13.141,0,0,0,13.141
1955,116118,1425190016,4.68,10.87,0,0,0,10.87
1956,119319,1425190016,4.68,14.058,0,0,0,14.058
1957,122608,1425190016,4.68,9.602,0,0,0,9.602
1958,125993,1425190016,4.68,8.411,0,0,0,8.411
1959,129454,1425190016,4.68,10.827,0,0,0,10.827
1960,132198,1425190016,4.68,9.309,0,0,0,9.309
1961,134313,1425190016,4.68,9.716,0,0,0,9.716
1962,136469,1425190016,4.68,10.67,0,0,0,10.67
1963,138534,1425190016,4.68,10.22,0,0,0,10.22
1964,140541,1425190016,4.68,9.937,0,0,0,9.937
1965,142472,1425190016,4.68,8.916,0,0,0,8.916
1966,144331,1425190016,4.68,8.337,0,0,0,8.337
1967,146111,1425190016,4.68,10.27,0,0,0,10.27
1968,147814,1425190016,4.68,9.55,0,0,0,9.55
1969,149407,1425190016,4.68,12.498,0,0,0,12.498
1970,150885,1425190016,4.68,13.978,0,0,0,13.978
1971,152199,1425190016,4.68,12.165,0,0,0,12.165
1972,153294,1425190016,4.68,11.796,0,0,0,11.796
1973,154097,1425190016,4.68,13.086,0,0,0,13.086
1974,154691,1425190016,4.68,11.861,0,0,0,11.861
1975,155208,1425190016,4.68,8.589,0,0,0,8.589
1976,155634,1425190016,4.68,18.348,0,0,0,18.348
1977,155977,1425190016,4.68,9.583,0,0,0,9.583
1978,156266,1425190016,4.68,8.162,0,0,0,8.162
1979,156492,1425190016,4.68,8.562,0,0,0,8.562
1980,156664,1425190016,4.68,8.811,0,0,0,8.811
1981,156804,1425190016,4.68,8.392,0,0,0,8.392
1982,156850,1425190016,4.68,9.383,0,0,0,9.383
1983,156838,1425190016,4.68,4.822,0,0,0,4.822
1984,156798,1425190016,4.68,12.042,0,0,0,12.042
1985,156712,1425190016,4.68,14.095,0,0,0,14.095
1986,156598,1425190016,4.68,2.702,0,0,0,2.702
1987,156455,1425190016,4.68,2.402,0,0,0,2.402
1988,156259,1425190016,4.68,2.366,0,0,0,2.366
1989,156032,1425190016,4.68,4.505,0,0,0,4.505
1990,155750,1425190016,4.68,4.824,0,0,0,4.824
1991,155457,1425190016,4.68,3.849,0,0,0,3.849
1992,155101,1425190016,4.68,3.171,0,0,0,3.171
1993,154504,1425190016,4.68,4.896,0,0,0,4.896
1994,153677,1425190016,4.68,4.694,0,0,0,4.694
1995,152704,1425190016,4.68,4.645,0,0,0,4.645
1996,151584,1425190016,4.68,4.345,0,0,0,4.345
1997,150316,1425190016,4.68,4.547,0,0,0,4.547
1998,148873,1425190016,4.68,0.251,0,0,0,0.251
1999,147276,1425190016,4.68,1.881,0,0,0,1.881
2000,145541,1425190016,4.68,4.99,0,0,0,4.99
2001,144758,1425190016,4.68,5.081,0,0,0,5.081
2002,145908,1425190016,4.68,4.899,0,0,0,4.899
2003,147921,1425190016,4.68,4.902,0,0,0,4.902
2004,149805,1425190016,4.68,5.143,0,0,0,5.143
2005,151325,1425190016,4.68,5.098,0,0,0,5.098
2006,152518,1425190016,4.68,5.313,0,0,0,5.313
2007,153673,1425190016,4.68,5.981,0,0,0,5.981
2008,154783,1425190016,4.68,5.753,0,0,0,5.753
2009,155834,1425190016,4.68,5.887,0,0,0,5.887
2010,156884,1425190016,4.68,4.055,0,0,0,4.055
2011,158572,1425190016,4.68,5.173,0,0,0,5.173
2012,160905,1425190016,4.68,6.287,0,0,0,6.287
2013,163122,1425190016,4.68,5.932,0,0,0,5.932
2014,165041,1425190016,4.68,6.797,0,0,0,6.797
2015,166620,1425190016,4.68,7.057,0,0,0,7.332
2016,167790,1425190016,4.68,5.928,0,0,0,6.203
2017,168524,1425190016,4.68,4.829,0,0,0,4.968
2018,181593,1425190016,4.68,4.217,0,0,0,4.32
2019,189556,1425190016,4.68,2.253,0,0,0,2.253
2020,185026,1425190016,4.68,1.814,0,0,0,1.814
2021,185324,1425190016,4.68,2.001,0,0,0,2.001
2022,185351,1425190016,4.68,1.94,0,0,0,1.94
2023,185437,1425190016,4.68,2.023,0,0,0,2.023
1950,493884,1425190016,4.68,0.264,0.004,0,0,0.267
1951,501060,1396563968,4.68,0.278,0.004,0,0,0.282
1952,508693,1532636032,4.68,0.304,0.011,0,0,0.315
1953,516735,1686109952,4.68,0.359,0.007,0,0,0.366
1954,525118,1719101056,4.68,0.44,0.004,0,0,0.443
1955,533873,1780800000,4.68,0.451,0,0,0,0.451
1956,543081,1976768000,4.68,0.641,0.015,0.018,0,0.674
1957,552830,2101008000,4.68,0.78,0.004,0.033,0,0.817
1958,563293,2042279936,4.68,0.722,0.004,0.04,0,0.765
1959,574569,2162537984,4.68,0.788,0.004,0.04,0,0.831
1960,586494,2003207936,4.68,0.843,0,0.044,0,0.886
1961,595522,2225101568,4.68,0.817,0,0.047,0,0.864
1962,601471,2425536000,4.68,0.857,0,0.047,0,0.905
1963,607254,2575512832,4.68,0.938,0,0.047,0,0.985
1964,612531,2328991488,4.68,0.964,0,0.036,0,1
1965,617743,2850609920,4.68,1.103,0,0.047,0,1.15
1966,623392,3024385024,5.339,1.191,0.004,0.047,0,1.242
1967,629253,3435760896,5.787,1.271,0,0.091,0,1.362
1968,635164,3593772032,6.427,1.502,0.004,0.116,0,1.622
1969,641195,3928192512,7.59,1.546,0.004,0.12,0,1.67
1970,647444,4050213888,8.005,1.572,0,0.131,0,1.703
1971,654058,4575363584,9.549,1.729,0.004,0.15,0,1.884
1972,661068,4890776576,10.737,2.187,0.007,0.211,0,2.406
1973,665945,5016050688,11.519,2.272,0.004,0.228,0,2.504
1974,663265,4166472192,10.213,1.755,0,0.174,0,1.929
1975,659408,3374843904,8.53,1.674,0,0.316,0,1.991
1976,662044,3981887232,8.673,1.953,0,0.535,0,2.488
1977,667104,4610073600,9.797,2.132,0,0.568,0,2.699
1978,672258,4962457088,10.044,2.253,0,0.592,0,2.845
1979,677550,5452556288,10.193,2.437,0,0.609,0,3.045
1980,683082,5774560768,10.279,2.59,0,0.67,0,3.261
1981,688895,5950994944,9.856,2.528,0,0.567,0,3.096
1982,696503,6324783104,11.814,2.568,0,0.589,0,3.157
1983,707223,6661699072,12.431,2.627,0,0.524,0,3.151
1984,719345,7250066944,12.612,2.616,0.139,0.479,0,3.235
1985,731290,7589592576,13.565,2.572,0.198,0.375,0,3.145
1986,743116,7878649856,14.143,2.968,0.147,0.492,0,3.606
1987,754796,8435044864,17.281,3.293,0.4,0.492,0,4.185
1988,766239,9131655168,17.845,3.451,0.242,0.504,0,4.198
1989,777429,9870456832,18.312,3.62,0.198,0.612,0,4.43
1990,788354,10601790464,19.275,3.693,0.232,0.668,0,4.644
1991,798950,10802932736,19.512,4.223,0.232,0.629,0,5.132
1992,810343,11948250112,22.797,4.713,0.062,0.686,0,5.504
1993,826042,12173586432,23.69,4.877,0.074,0.747,0,5.748
1994,844669,13051262976,23.732,5.096,0.065,0.784,0,5.99
1995,862698,14530338816,25.231,5.016,0.048,0.751,0,5.86
1996,880296,14861081600,25.605,5.313,0.043,0.811,0,6.21
1997,897576,15384666112,25.852,5.43,0.045,0.78,0,6.296
1998,914552,16341392384,27.447,5.75,0.062,0.74,0,6.59
1999,931236,17289793536,28.881,6.002,0.072,0.74,0,6.856
2000,947667,18447964160,30.261,6.181,0.117,0.763,0,7.102
2001,964129,19289559040,30.61,6.063,0.127,0.745,0,6.976
2002,981443,20131147776,30.186,6.221,0.127,0.766,0,7.167
2003,999602,20821862400,32.088,6.608,0.127,0.751,0,7.557
2004,1017877,21975894016,31.228,6.763,0.137,0.808,0,7.787
2005,1036156,23006189568,34.993,6.944,0.152,0.788,0,7.958
2006,1054425,24267407360,34.412,7.132,0.151,0.821,0,8.186
2007,1072726,25673703424,34.987,7.486,0.119,0.812,0,8.504
2008,1091028,26913613824,35.855,7.705,0.111,0.818,0,8.717
2009,1109377,26682212352,35.004,7.685,0.059,0.673,0,8.471
2010,1127825,27285555200,34.056,7.441,0.071,0.555,0,8.102
2011,1146492,27627898880,33.725,7.186,0.031,0.546,0,7.789
2012,1165402,26675451904,31.605,6.735,0.001,0.505,0,7.264
2013,1183899,24918237184,28.278,5.817,0.001,0.752,0,6.584
2014,1201807,24475580416,28.294,5.957,0.009,0.974,0,6.952
2015,1219504,25312503808,29.184,6.07,0.015,0.877,0,6.973
2016,1237116,26976335872,31.737,6.476,0.002,0.883,0,7.375
2017,1254273,28523085824,32.596,6.554,0.012,0.923,0,7.505
2018,1270743,30134013952,32.462,6.401,0.054,0.848,0,7.323
2019,1286669,31800246272,32.493,6.462,0.068,0.789,0,7.344
2020,1302250,30409793536,28.281,6.057,0.056,0.882,0,7.015
2021,1317312,32428679168,29.842,6.114,0.159,0.879,0,7.17
2022,1331376,34255009792,31.674,6.174,0.123,0.88,0,7.198
2023,1344979,34255009792,32.096,6.162,0.112,0.88,0,7.174
1950,8916714,85688639488,468.778,1.324,55.882,0.614,0.002,57.854
1951,8997245,85688639488,468.778,1.307,59.594,0.682,0.002,61.651
1952,9077206,85688639488,468.778,1.543,63.539,0.726,0.002,65.919
1953,9152603,85688639488,468.778,1.591,65.821,0.762,0.002,68.322
1954,9221189,85688639488,468.778,1.937,70.038,0.84,0.002,72.966
1955,9289428,85688639488,468.778,1.994,72.652,0.948,0.002,75.747
1956,9358022,85688639488,468.778,2.167,77.839,1.033,0.002,81.281
1957,9418970,85688639488,468.778,2.639,80.329,1.209,0.002,84.904
1958,9469711,85688639488,468.778,2.759,87.481,1.357,0.002,92.772
1959,9508387,85688639488,468.778,3.412,86.509,1.555,0.002,92.872
1960,9541603,85688639488,468.778,4.436,91.588,1.672,0.002,99.053
1961,9573387,85688639488,468.778,5.796,98.614,1.77,0.002,107.505
1962,9597462,85688639488,468.778,7.31,104.243,1.892,0.002,114.564
1963,9627332,85688639488,468.778,7.968,109.766,1.713,0.002,120.492
1964,9668744,85688639488,468.778,9.97,112.623,1.82,0.002,125.402
1965,9706844,85688639488,468.778,10.543,108.871,1.894,0.003,122.2
1966,9736243,85688639488,472.285,11.099,107.397,2.036,0.003,121.522
1967,9758986,85688639488,464.94,13.378,104.534,2.151,0.003,121.279
1968,9775114,85688639488,484.892,14.136,109.1,2.165,0.003,126.88
1969,9787791,85688639488,505.533,16.882,113.732,2.251,0.003,134.694
1970,9801251,85688639488,526.872,21.375,128.57,2.478,0.003,154.42
1971,9822783,90161725440,553.701,24.748,132.286,2.63,0.003,161.977
1972,9858071,94933131264,556.845,27.294,130.989,2.626,0.003,163.451
1973,9906212,99378511872,560.165,30.829,127.811,2.704,0.003,164.108
1974,9965950,104186945536,566.171,32.33,127.417,2.855,0.003,166
1975,10030787,110000275456,589.3,35.777,131.182,2.922,0.003,173.668
1976,10092942,114359902208,605.729,38.317,134.84,2.959,0.003,180.411
1977,10149370,118223716352,625.648,40.659,136.72,2.982,0.003,185.792
1978,10200749,123116437504,634.403,38.299,140,3.07,0.004,187.464
1979,10246154,124798623744,641.109,38.299,134.536,3.043,0.004,182.557
1980,10275404,126921728000,620.836,36.472,136.633,3.085,0.004,184.677
1981,10289517,126726004736,616.225,35.571,136.646,3.053,0.004,182.648
1982,10299007,124767551488,609.005,33.372,136.683,2.909,0.004,180.846
1983,10302947,126785028096,609.977,32.277,138.05,2.904,0.004,181.076
1984,10303815,129617870848,630.302,34.483,141.063,2.866,0.004,187.168
1985,10305142,132537131008,631.51,34.407,138.66,2.745,0.004,184.6
1986,10304373,136190033920,638.553,32.401,140.922,2.706,0.004,185.854
1987,10303423,139350917120,653.255,32.37,138.666,2.674,0.004,183.641
1988,10305448,142237368320,656.114,30.272,137.605,2.773,0.004,180.617
1989,10305609,144679288832,636,27.256,131.212,2.708,0.005,172.331
1990,10301990,146168283136,546.744,22.489,123.419,2.489,0.005,164.25
1991,10304419,130499461120,497.639,19.785,112.711,2.309,0.005,148.883
1992,10312449,131496648704,482.979,21.177,105.791,2.468,0.005,145.706
1993,10320402,133342961664,478.929,20.378,100.747,2.195,0.005,140.124
1994,10322332,139002249216,466.515,19.795,94.922,2.208,0.005,132.668
1995,10312040,149541601280,486.214,17.661,94.834,2.005,0.005,131.622
1996,10296139,157900111872,502.922,18.043,95.219,2.116,0.005,135.019
1997,10280049,158827905024,482.32,17.695,90.923,2.083,0.005,130.942
1998,10265431,160364298240,468.271,19.593,83.666,2.068,0.005,125.716
1999,10251383,164728012800,448.987,18.623,75.616,1.963,0.005,116.672
2000,10236809,174309523456,474.504,18.192,86.836,1.937,0.005,127.236
2001,10231941,181753184256,485.272,19.283,84.798,1.629,0.005,127.145
2002,10239474,187044888576,486.757,19.254,82.673,1.403,0.005,123.968
2003,10248907,196327997440,514.55,21.059,83.968,1.485,0.005,127.572
2004,10261454,208725901312,527.825,22.039,83.408,1.627,0.005,128.292
2005,10280158,225302577152,519.632,22.6,80.604,1.625,0.005,125.691
2006,10304594,243991789568,529.455,22.374,81.885,1.748,0.005,126.537
2007,10337541,260673044480,523.705,23.065,83.628,2.043,0.005,128.366
2008,10378296,271709536256,513.619,22.905,78.66,1.996,0.005,122.935
2009,10420986,261919703040,492.811,21.978,73.287,1.566,0.005,114.983
2010,10464035,271231975424,513.649,21.141,74.554,1.469,0.006,117.476
2011,10495508,279082762240,501.976,20.908,73.749,1.665,0.006,115.189
2012,10507338,276891959296,499.438,20.411,70.768,1.517,0.006,111.287
2013,10511164,276764852224,490.221,19.767,66.87,1.332,0.006,106.722
2014,10517222,283025539072,479.937,20.812,64.905,1.483,0.006,104.246
2015,10524419,298276061184,470.716,21.319,64.322,1.558,0.006,105.001
2016,10531947,305844158464,464.374,21.353,64.728,1.698,0.006,106.648
2017,10541343,321652391936,490.582,22.13,64.307,1.728,0.006,107.746
2018,10548935,332009897984,489.024,22.341,63.573,1.868,0.006,106.336
2019,10554871,342069379072,477.905,22.461,57.468,1.977,0.006,101.009
2020,10550130,323245441024,442.568,21.079,49.727,1.891,0.006,91.674
2021,10530683,334729445376,466.406,22.549,51.406,1.958,0.006,96.645
2022,10673216,342966829056,455.731,22.868,52.973,1.847,0.006,95.108
2023,10809722,342966829056,423.373,22.957,44.853,1.847,0.006,85.624
1950,12294294,12334004224,26.256,0.429,0.964,0.087,0.002,1.48
1951,12542651,13762654208,26.256,0.586,1.059,0.102,0.002,1.747
1952,12803639,15016505344,26.256,0.629,1.335,0.12,0.002,2.084
1953,13069453,15882645504,26.256,0.801,1.364,0.123,0.002,2.289
1954,13343040,16826791936,26.256,1.074,1.572,0.171,0.002,2.816
1955,13630351,17494505472,26.256,1.154,2.034,0.2,0.002,3.388
1956,13929949,18677356544,26.256,1.235,1.715,0.225,0.002,3.175
1957,14242281,19269902336,26.256,1.319,1.781,0.229,0.003,3.329
1958,14557796,18708994048,26.256,1.365,1.369,0.192,0.003,2.926
1959,14891585,19357339648,26.256,1.271,1.257,0.171,0.003,2.699
1960,15264853,19799695360,26.256,1.18,1.041,0.098,0.003,2.319
1961,15662373,17659762688,26.256,1.229,1.057,0.069,0.003,2.355
1962,16075729,21385908224,26.256,1.235,0.839,0.098,0.003,2.172
1963,16507610,22497906688,26.256,1.354,0.818,0.12,0.003,2.293
1964,16955331,21953286144,26.256,0.921,0.94,0.113,0.003,1.974
1965,17427807,22174078976,26.256,1.167,1.178,0.123,0.003,2.469
1966,17931934,23676299264,26.256,1.363,0.909,0.131,0.004,2.403
1967,18462788,23450699776,26.256,1.194,0.949,0.145,0.004,2.289
1968,19012194,24458477568,26.256,2.481,0.74,0.145,0.004,3.366
1969,19570447,26727661568,26.256,2.601,0.887,0.16,0.004,3.648
1970,20137441,26659889152,26.256,1.715,0.788,0.207,0.004,2.71
1971,20695567,28362504192,26.256,1.858,0.876,0.225,0.004,2.959
1972,21251166,28414472192,26.256,1.931,0.85,0.236,0.004,3.017
1973,21827664,30887354368,26.256,2.096,0.828,0.265,0.004,3.189
1974,22418884,31926198272,26.256,2.224,0.832,0.309,0.004,3.365
1975,23021102,30364745728,26.256,2.253,0.671,0.309,0.004,3.233
1976,23624033,28598779904,26.256,2.209,0.876,0.32,0.004,3.405
1977,24229060,28761571328,26.256,2.352,0.887,0.238,0.004,3.477
1978,24992693,27125444608,26.256,2.459,0.843,0.225,0.004,3.526
1979,25886782,27103821824,26.256,2.781,0.747,0.212,0.004,3.74
1980,26711097,27648954368,26.256,2.437,0.843,0.206,0.005,3.485
1981,27500518,28317622272,26.692,2.667,0.861,0.227,0.005,3.755
1982,28338194,28196935680,27.079,1.975,0.824,0.248,0.005,3.047
1983,29250968,28585207808,28.171,2.961,0.806,0.231,0.005,3.998
1984,30245089,30141794304,28.037,2.869,0.824,0.238,0.005,3.932
1985,31264819,30309890048,28.493,2.597,0.822,0.194,0.005,3.612
1986,32265203,31729262592,30.109,2.316,0.839,0.191,0.005,3.346
1987,33298910,32572618752,28.673,2.755,0.85,0.21,0.005,3.816
1988,34382755,32745572352,31.45,2.84,0.931,0.208,0.005,3.978
1989,35486865,32549357568,32.584,3.32,0.843,0.19,0.005,4.352
1990,36684066,31745581056,31.186,3.169,0.89,0.189,0.005,4.249
1991,37925828,29817690112,28.944,3.03,0,0.102,0.006,3.133
1992,39228908,27407296512,31.928,2.737,0,0.071,0.006,2.808
1993,40656338,24338479104,30.711,2.601,0,0.061,0.006,2.662
1994,42626874,23485765632,26.886,1.63,0,0.068,0.006,2.751
1995,44433718,24780658688,29.411,2.008,0,0.096,0.006,3.096
1996,45296126,24914388992,30.089,2.213,0,0.098,0.006,3.473
1997,46029908,23716345856,27.072,1.825,0,0.051,0.006,3.089
1998,47297596,23460460544,25.524,1.601,0,0.054,0.006,2.733
1999,48912973,23134197760,27.725,1.253,0,0.064,0.006,2.199
2000,50507444,21854113792,21.33,0.824,0,0.068,0.007,1.705
2001,52132648,21977292800,20.976,0.689,0,0.081,0.007,1.647
2002,53750528,23244765184,21.56,0.744,0.005,0.106,0.007,1.734
2003,55343873,25228484608,22.437,0.905,0.002,0.132,0.007,2.096
2004,56997741,27653537792,25.43,0.989,0.006,0.16,0.007,2.028
2005,58775726,30164654080,27.592,1.238,0.023,0.207,0.007,2.287
2006,60615907,32708306944,29.113,1.326,0.02,0.204,0.007,2.352
2007,62477753,35814301696,29.997,1.447,0.03,0.205,0.007,2.623
2008,64390658,39245770752,28.388,1.608,0.034,0.158,0.008,2.685
2009,66412040,41718890496,27.775,1.473,0.024,0.177,0.008,2.446
2010,68563037,46223523840,30.719,1.729,0.037,0.189,0.008,2.735
2011,70849311,51169099776,33.243,2.22,0.029,0.175,0.009,3.041
2012,73254623,55604953088,32.713,2.198,0.033,0.158,0.009,2.797
2013,75789395,60956372992,39.533,3.364,0.013,0.174,0.009,3.921
2014,78403248,65407410176,47.359,4.499,0.017,0.128,0.01,5.066
2015,81035535,69567324160,36.524,2.686,0.034,0.155,0.01,3.274
2016,83956415,69841412096,33.68,2.129,0.039,0.098,0.01,2.659
2017,87083400,72396210176,36.642,2.169,0.049,0.349,0.011,2.917
2018,90047647,75889336320,38.716,2.942,0.084,0.453,0.011,3.774
2019,92947450,79292964864,39.839,3.165,0.044,0.536,0.011,4.121
2020,95989999,80617955328,41.209,3.342,0.025,0.498,0.012,4.302
2021,99148931,85639643136,39.402,3.206,0.034,0.604,0.012,4.269
2022,102396974,91314987008,39.402,3.586,0.053,0.604,0.012,4.631
2023,105789733,91314987008,39.402,3.728,0.071,0.604,0.012,4.616
1950,4268408,47267155968,166.208,4.961,16.594,0.432,0.001,21.988
1951,4300264,47580823552,166.208,5.709,15.726,0.487,0.001,21.921
1952,4332237,48046723072,166.208,5.929,16.37,0.6,0.001,22.899
1953,4369108,50784141312,166.208,6.328,16.202,0.621,0.001,23.151
1954,4406405,51766095872,166.208,7.002,17.972,0.603,0.001,25.577
1955,4438843,52326932480,166.208,8.753,17.69,0.621,0.001,27.065
1956,4466341,52963414016,166.208,10.424,15.363,0.585,0.001,26.372
1957,4489659,56977502208,166.208,10.805,13.52,0.574,0.001,24.9
1958,4516071,58258747392,166.208,12.045,14.218,0.527,0.001,26.791
1959,4548480,62593536000,166.208,12.569,12.778,0.687,0.001,26.034
1960,4579349,64344727552,166.208,14.163,14.874,0.712,0.001,29.75
1961,4611357,68423512064,166.208,16.462,14.458,0.781,0.001,31.702
1962,4647466,72198873088,166.208,20.194,15.889,0.807,0.001,36.89
1963,4684268,72656363520,166.208,23.798,16.118,0.752,0.001,40.668
1964,4721889,79449915392,166.208,27.302,14.908,0.938,0.001,43.147
1965,4758838,83071664128,166.208,29.587,13.722,0.985,0.001,44.293
1966,4797200,85342724096,189.059,34.984,14.059,1.036,0.001,50.078
1967,4835223,88211324928,190.123,35.372,12.568,1.087,0.001,49.026
1968,4864801,91836219392,198.667,39.813,12.333,1.127,0.001,53.273
1969,4891800,97686585344,228.047,46.555,11.498,1.29,0.002,59.343
1970,4928676,99664396288,242.989,51.394,9.358,1.287,0.002,62.039
1971,4963062,102324764672,229.635,49.915,5.738,1.348,0.002,57.001
1972,4991568,107713650688,242.342,52.791,5.327,1.413,0.002,59.575
1973,5021765,111625928704,234.47,48.64,9.068,1.416,0.002,59.194
1974,5045638,110587863040,213.314,45.555,8.182,1.218,0.002,55.009
1975,5060403,109859700736,210.239,43.649,10.831,1.089,0.002,55.709
1976,5072804,116968988672,231.443,46.518,12.238,1.143,0.002,60.057
1977,5088574,118865469440,236.189,46.551,13.729,1.119,0.002,61.765
1978,5104342,120623562752,239.619,46.554,12.872,1.269,0.002,61.028
1979,5116861,124895969280,239.139,45.115,16.29,1.162,0.002,62.908
1980,5123078,124346114048,232.961,37.191,22.016,0.922,0.002,60.286
1981,5121628,123240390656,209.247,32.635,18.089,0.768,0.002,51.716
1982,5117897,126957510656,199.994,30.474,22.068,0.847,0.002,53.615
1983,5114468,130158862336,190.114,29.107,19.965,0.788,0.002,50.098
1984,5111830,135871946752,193.293,28.142,21.366,0.793,0.002,50.781
1985,5113878,141700382720,217.816,29.565,28.004,0.825,0.002,59.981
1986,5120691,146862030848,222.643,28.348,27.011,0.958,0.002,58.802
1987,5127135,147289145344,214.641,26.923,27.466,0.89,0.002,58.242
1988,5129650,149007302656,212.306,24.816,25.967,0.79,0.002,55.014
1989,5132717,149399519232,195.815,23.398,20.496,0.94,0.002,48.685
1990,5141025,151205740544,201.961,23.179,24.005,0.775,0.002,53.464
1991,5154346,154212941824,232.854,24.279,32.57,0.993,0.002,64.093
1992,5171371,158125309952,218.137,23.614,27.133,1.129,0.002,58.315
1993,5188639,159069863936,231.304,23.991,28.451,1.143,0.002,60.562
1994,5206190,168493891584,248.056,25.157,30.578,1.168,0.002,64.661
1995,5233363,174484963328,243.62,26.017,25.6,1.243,0.002,61.641
1996,5263072,180654112768,289.889,28.356,35.137,1.313,0.002,74.887
1997,5285041,187647328256,262.998,27.134,26.15,1.312,0.002,65.425
1998,5304264,192859242496,253.691,26.386,22.219,1.39,0.002,61.226
1999,5321814,199699300352,246.049,26.252,18.672,1.355,0.002,58.642
2000,5339660,208333668352,236.519,25.36,15.657,1.385,0.002,54.296
2001,5358825,211243384832,237.216,25.603,16.558,1.388,0.002,55.886
2002,5375966,213517287424,236.755,25.315,16.537,1.416,0.003,55.544
2003,5390622,215549132800,255.233,24.392,22.573,1.33,0.003,60.638
2004,5404594,222528946176,241.652,24.07,17.281,1.459,0.003,55.093
2005,5419551,229074714624,233.617,23.883,14.602,1.363,0.003,51.527
2006,5437421,239411019776,255.481,24.228,22.006,1.395,0.003,59.492
2007,5461604,242913738752,243.401,24.166,18.422,1.407,0.003,54.698
2008,5493766,243090604032,234.872,23.314,16.134,1.155,0.003,51.246
2009,5523168,232507375616,220.807,22.292,15.784,0.764,0.003,48.84
2010,5547866,238190231552,235.977,21.943,15.351,0.672,0.003,49.179
2011,5570846,242757632000,220.975,20.912,12.915,0.862,0.003,44.227
2012,5591912,243307495424,205.243,19.951,10.078,0.871,0.003,39.853
2013,5615334,245578366976,211.702,19.572,12.755,0.867,0.003,41.755
2014,5643793,249555238912,203.564,19.082,10.143,0.887,0.003,37.565
2015,5683698,255401312256,198.975,19.47,7.242,0.932,0.003,35.102
2016,5728198,263691534336,201.601,19.75,8.413,1.095,0.003,36.906
2017,5765168,271132213248,202.985,19.916,6.253,1.194,0.003,34.652
2018,5793825,276526465024,200.118,19.968,6.362,1.16,0.003,34.602
2019,5814619,280656347136,196.046,19.686,3.588,1.129,0.003,30.942
2020,5831530,275058360320,176.485,18.582,3.166,1.227,0.003,28.294
2021,5856773,288414400512,189.435,18.759,4.207,1.21,0.003,29.588
2022,5902898,299429003264,197.278,19.148,4.164,1.073,0.003,28.432
2023,5948134,299429003264,195.523,19.319,2.766,1.073,0.003,27.265
1950,62349,273260992,6.345,0.011,0,0,0,0.011
1951,64327,288846016,6.345,0.026,0,0,0,0.026
1952,66371,297555008,6.345,0.026,0,0,0,0.026
1953,68499,312438016,6.345,0.029,0,0,0,0.029
1954,70723,329384000,6.345,0.033,0,0,0,0.033
1955,73022,338849984,6.345,0.037,0,0,0,0.037
1956,75405,354329984,6.345,0.029,0,0,0,0.029
1957,77886,369408000,6.345,0.044,0,0,0,0.044
1958,80456,387840000,6.345,0.048,0,0,0,0.048
1959,83103,418488000,6.345,0.037,0,0,0,0.037
1960,86038,453656992,6.345,0.04,0,0,0,0.04
1961,89407,481337984,6.345,0.044,0,0,0,0.044
1962,93305,499011008,6.345,0.048,0,0,0,0.048
1963,97887,527868000,6.345,0.066,0,0,0,0.066
1964,103214,547425024,6.345,0.084,0,0,0,0.084
1965,109107,574673984,6.345,0.121,0,0,0,0.121
1966,115284,605387008,6.345,0.139,0,0,0,0.139
1967,121659,636635008,6.345,0.088,0,0,0,0.088
1968,128263,660592000,6.345,0.121,0,0,0,0.121
1969,136092,691096000,6.345,0.084,0,0,0,0.084
1970,145188,859320000,6.345,0.139,0,0,0,0.139
1971,155152,911048000,6.345,0.161,0,0,0,0.161
1972,166267,943038976,6.345,0.191,0,0,0,0.191
1973,178460,989006016,6.345,0.18,0,0,0,0.18
1974,192621,953424000,6.345,0.194,0,0,0,0.194
1975,209922,1064857024,6.345,0.198,0,0,0,0.198
1976,230747,1156086016,6.345,0.198,0,0,0,0.198
1977,254630,1017072000,6.345,0.198,0,0,0,0.198
1978,280042,940225024,6.345,0.202,0,0,0,0.202
1979,304525,989091968,6.345,0.363,0,0,0,0.363
1980,325821,1035609024,6.345,0.348,0,0,0,0.348
